Dt-Proce;Dt-Inicio;Dt-Fim;Nome;Tarifa;Cidade;Identifica;Avaliações;Nota;Estrelas;Propriedade;Funcionários;Comodidades;Limpeza;Conforto;Relação Qualidade/Preço;Localização;Wifi;Travel-Proud;Sustentabilidade;Tipo;Latitude;Longitude
06/02/2026;29/08/2026;30/08/2026;Apto Agua Marinha;R$ 150;Campos dos Goytacazes;Teste;12;6,0;3;Privado;7,0;7,0;6,5;6,5;8,0;6,5;10,0;N;N;Apartamento;-21.764953;-41.353136
06/02/2026;29/08/2026;30/08/2026;Apto Tupila Shopping;R$ 163;Campos dos Goytacazes;Teste;4;6,5;3;Privado;8,1;6,9;6,9;7,5;8,1;8,1;0.0;N;N;Apartamento;-21.757019;-41.348678
06/02/2026;29/08/2026;30/08/2026;Apto Jockey 4;R$ 132;Campos dos Goytacazes;Teste;30;5,8;3;Privado;7,9;6,1;6,3;6,7;6,7;6,8;5,0;N;N;Apartamento;-21.773230321064265;-41.28092340971756
06/02/2026;29/08/2026;30/08/2026;Apto Agua mês;R$ 336;Parque Leopoldina, Campos dos Goytacazes;Teste;3;6,7;3;Privado;6,7;7,5;6,7;7,5;5,0;6,7;0.0;N;N;Apartamento;-21.756987;-41.346664
06/02/2026;29/08/2026;30/08/2026;Antonino;R$ 160;Campos dos Goytacazes;Teste;5;6,6;3;Privado;7,5;6,5;7,0;7,5;8,0;6,5;0.0;N;N;Apartamento;-21.762036;-41.325839
06/02/2026;29/08/2026;30/08/2026;Apart recanto tavares;R$ 270;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7637655;-41.34686
06/02/2026;29/08/2026;30/08/2026;Flat 1;R$ 225;Campos dos Goytacazes;Teste;11;8,1;3;Privado;8,4;8,4;8,4;8,5;8,5;8,5;10,0;N;N;Apartamento;-21.762036;-41.325839
06/02/2026;29/08/2026;30/08/2026;Recanto David;R$ 200;Campos dos Goytacazes;Teste;1;10;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7637655;-41.34686
06/02/2026;29/08/2026;30/08/2026;Apto Boss Campos;R$ 175;Campos dos Goytacazes;Teste;2;7,5;3;Privado;10,0;7,5;7,5;10,0;7,5;7,5;0.0;N;N;Apartamento;-21.762036;-41.325839
06/02/2026;29/08/2026;30/08/2026;Jockei Campos 1;R$ 169;Campos dos Goytacazes;Teste;1;10;Sem Classificação;Privado;10,0;10,0;10,0;10,0;10,0;10,0;0.0;N;N;Apartamento;-21.7755974;-41.2773978
06/02/2026;29/08/2026;30/08/2026;Presidente Kennedy;R$ 250;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.77407258726;-41.281458756448
06/02/2026;29/08/2026;30/08/2026;Apart top;R$ 176;Campos dos Goytacazes;Teste;2;7,0;Sem Classificação;Privado;7,5;7,5;8,7;7,5;8,7;7,5;0.0;N;N;Apartamento;-21.7651804;-41.3542734
06/02/2026;29/08/2026;30/08/2026;Apto Novo Jckey;R$ 154;Campos dos Goytacazes;Teste;1;5,0;Sem Classificação;Privado;7,5;5,0;5,0;5,0;5,0;5,0;0.0;N;N;Apartamento;-21.7754153;-41.2776609
