Dt-Proce;Dt-Inicio;Dt-Fim;Nome;Tarifa;Cidade;Identifica;Avaliações;Nota;Estrelas;Propriedade;Funcionários;Comodidades;Limpeza;Conforto;Relação Qualidade/Preço;Localização;Wifi;Travel-Proud;Sustentabilidade;Tipo;Latitude;Longitude
04/12/2025;22/12/2025;23/12/2025;Apartamento com Varanda e Ar Condicionado;R$ 330;Sinop;Diaria;6;0;3;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-11.8567336;-55.5287111
04/12/2025;22/12/2025;23/12/2025;WM Milão Piscina, Churrasqueira e Suíte Privativa;R$ 223;Sinop;Diaria;8;9,2;Sem Classificação;Privado;9,9;9,2;8,3;9,2;7,7;9,2;0.0;N;N;Apartamento;-11.8995061;-55.5316711
04/12/2025;22/12/2025;23/12/2025;Apartamento em Sinop 10M;R$ 178;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-11.8336584;-55.4954518
04/12/2025;22/12/2025;23/12/2025;Apartamento em Sinop 11;R$ 178;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-11.8387092;-55.5036052
04/12/2025;22/12/2025;23/12/2025;Apartamento solteiro sinop 9M;R$ 168;Sinop;Diaria;0;0;3;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-11.8336584;-55.4954518
04/12/2025;22/12/2025;23/12/2025;VivaVida Imperial 101;R$ 245;Sinop;Diaria;0;0;3;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-11.8430535;-55.5145166
04/12/2025;22/12/2025;23/12/2025;Flat próximo do centro;R$ 270;Sinop;Diaria;2;10;3;Privado;10,0;10,0;10,0;10,0;10,0;10,0;0.0;N;N;Apartamento;-11.8533009;-55.527755
04/12/2025;22/12/2025;23/12/2025;VivaVida boungavilli 01;R$ 146;Sinop;Diaria;1;7,0;3;Privado;10,0;10,0;10,0;5,0;5,0;7,5;0.0;N;N;Apartamento;-11.8890995;-55.5426243
04/12/2025;22/12/2025;23/12/2025;Casa vaga 2 carros, 2 quartos, espaçosa, completa para 8 pessoas;R$ 360;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-11.8916314529341;-55.5308879260528
04/12/2025;22/12/2025;23/12/2025;Aconchego Urbano;R$ 336;Sinop;Diaria;11;9,2;4;Privado;9,4;8,6;9,2;8,7;9,4;8,9;0.0;N;N;Apartamento;-11.840911;-55.4976891
04/12/2025;22/12/2025;23/12/2025;ModuLoftSinop;R$ 280;Sinop;Diaria;0;0;3;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-11.8533391499014;-55.4824350798514
04/12/2025;22/12/2025;23/12/2025;Condomínio Nalevaiko;R$ 324;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-11.8567336;-55.5287111
04/12/2025;22/12/2025;23/12/2025;Pousadinha Safira;R$ 378;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;temporada;-11.825056;-55.482473
04/12/2025;22/12/2025;23/12/2025;Sinop Urb;R$ 172;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-11.8806176872095;-55.4892814004007
04/12/2025;22/12/2025;23/12/2025;Espaço Aconchego 02;R$ 430;Sinop;Diaria;0;0;3;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-11.840328910869465;-55.49740973660966
04/12/2025;22/12/2025;23/12/2025;Quarto 02 - Cama king size com climatizador;R$ 130;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;temporada;-11.8882937078961;-55.477625586533
04/12/2025;22/12/2025;23/12/2025;Casa Espaçosa;R$ 338;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;temporada;-11.825056;-55.482473
04/12/2025;22/12/2025;23/12/2025;Ap conforto no centro de Sinop 2;R$ 259;Sinop;Diaria;1;10;3;Privado;10,0;10,0;10,0;10,0;10,0;10,0;0.0;N;N;Apartamento;-11.8637625;-55.5033171
04/12/2025;22/12/2025;23/12/2025;Pousada recanto das palmeiras;R$ 288;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Camping;-11.466341266637;-55.573028986475
04/12/2025;22/12/2025;23/12/2025;Chalé do Lago Sinop MT;R$ 644;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Camping;-11.6257811477929;-55.6974878730599
04/12/2025;22/12/2025;23/12/2025;Hortênsias;R$ 822;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;temporada;-11.862595;-55.515413
04/12/2025;22/12/2025;23/12/2025;Chácara Condomínio Monte Siao;R$ 288;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;temporada;-11.8575252;-55.4557419
